Date,Weekly Henry Hub Natural Gas Spot Price (Dollars per Million Btu),LNG 160K CBM Spot Rate
30-Mar-18,2.67,"44,000"
6-Apr-18,2.79,"44,500"
13-Apr-18,2.78,"44,000"
20-Apr-18,2.83,"38,000"
27-Apr-18,2.8,"42,000"
4-May-18,2.75,"44,000"
11-May-18,2.76,"56,000"
18-May-18,2.8,"56,500"
25-May-18,2.83,"57,000"
1-Jun-18,2.88,"60,000"
8-Jun-18,2.92,"65,000"
15-Jun-18,2.99,"76,000"
22-Jun-18,2.99,"87,000"
29-Jun-18,2.98,"85,000"
6-Jul-18,2.91,"78,000"
13-Jul-18,2.89,"76,000"
20-Jul-18,2.78,"75,000"
27-Jul-18,2.79,"75,500"
3-Aug-18,2.8,"75,000"
10-Aug-18,2.96,"77,000"
17-Aug-18,3,"78,000"
24-Aug-18,3.01,"80,000"
31-Aug-18,2.97,"82,000"
7-Sep-18,2.94,"85,000"
14-Sep-18,2.93,"92,000"
21-Sep-18,3.03,"95,000"
28-Sep-18,3.06,"98,000"
5-Oct-18,3.23,"100,000"
12-Oct-18,3.3,"145,000"
19-Oct-18,3.26,"147,000"
26-Oct-18,3.32,"150,000"
2-Nov-18,3.28,"170,000"
9-Nov-18,3.58,"190,000"
16-Nov-18,4.23,"195,000"
23-Nov-18,4.67,"190,000"
30-Nov-18,4.43,"195,000"
7-Dec-18,4.49,"160,000"
14-Dec-18,4.38,"110,000"
21-Dec-18,3.73,"100,000"
28-Dec-18,3.26,"105,000"
4-Jan-19,2.92,"97,500"
11-Jan-19,2.89,"77,500"
18-Jan-19,3.5,"75,000"
25-Jan-19,3.19,"67,500"
1-Feb-19,2.9,"64,000"
8-Feb-19,2.59,"58,000"
15-Feb-19,2.65,"55,000"
22-Feb-19,2.71,"49,000"
1-Mar-19,2.91,"39,000"
8-Mar-19,3.28,"35,000"
15-Mar-19,2.89,"36,000"
22-Mar-19,2.86,"36,500"
29-Mar-19,2.71,"33,500"
5-Apr-19,2.7,"33,000"
12-Apr-19,2.72,"34,000"
19-Apr-19,2.62,"34,500"
26-Apr-19,2.56,"34,000"
3-May-19,2.59,"41,500"
10-May-19,2.6,"48,500"
17-May-19,2.67,"55,000"
24-May-19,2.66,"59,500"
31-May-19,2.66,"60,000"
7-Jun-19,2.45,"60,500"
14-Jun-19,2.41,"57,000"
21-Jun-19,2.4,"59,500"
28-Jun-19,2.34,"55,000"
5-Jul-19,2.31,"55,500"
12-Jul-19,2.47,"59,000"
19-Jul-19,2.44,"64,000"
26-Jul-19,2.3,"65,000"
2-Aug-19,2.24,"65,500"
9-Aug-19,2.11,"66,000"
16-Aug-19,2.21,"66,500"
23-Aug-19,2.27,"70,500"
30-Aug-19,2.28,"70,000"
6-Sep-19,2.46,"65,500"
13-Sep-19,2.64,"61,500"
20-Sep-19,2.63,"68,000"
27-Sep-19,2.52,"72,500"
4-Oct-19,2.33,"84,000"
11-Oct-19,2.26,"102,500"
18-Oct-19,2.25,"130,000"
25-Oct-19,2.25,"140,000"
1-Nov-19,2.62,"140,500"
8-Nov-19,2.82,"110,000"
15-Nov-19,2.73,"108,000"
22-Nov-19,2.58,"104,000"
29-Nov-19,2.49,"104,500"
6-Dec-19,2.38,"101,500"
13-Dec-19,2.24,"96,500"
20-Dec-19,2.28,"91,000"
27-Dec-19,2.03,"91,500"
3-Jan-20,2.05,"86,500"
10-Jan-20,2.09,"86,000"
17-Jan-20,2.06,"81,000"
24-Jan-20,1.93,"77,000"
31-Jan-20,1.95,"65,000"
7-Feb-20,1.89,"49,500"
14-Feb-20,1.9,"49,000"
21-Feb-20,2,"45,500"
28-Feb-20,1.88,"37,500"
6-Mar-20,1.8,"34,500"
13-Mar-20,1.86,"38,500"
20-Mar-20,1.82,"45,000"
27-Mar-20,1.74,"45,500"
3-Apr-20,1.63,"47,500"
10-Apr-20,1.77,"43,000"
17-Apr-20,1.72,"37,500"
24-Apr-20,1.85,"35,500"
1-May-20,1.71,"32,000"
8-May-20,1.84,"30,500"
15-May-20,1.63,"30,000"
22-May-20,1.78,"30,500"
29-May-20,1.76,"30,000"
5-Jun-20,1.7,"30,500"
12-Jun-20,1.7,"31,000"
19-Jun-20,1.52,"34,000"
26-Jun-20,1.57,"39,000"
3-Jul-20,1.71,"27,500"
10-Jul-20,1.78,"29,500"
17-Jul-20,1.77,"32,000"
24-Jul-20,1.72,"33,000"
31-Jul-20,1.82,"36,500"
7-Aug-20,2.13,"36,000"
14-Aug-20,2.17,"39,000"
21-Aug-20,2.39,"44,500"
28-Aug-20,2.52,"50,000"
4-Sep-20,2.16,"55,000"
11-Sep-20,2.16,"50,000"
18-Sep-20,1.93,"50,500"
25-Sep-20,1.68,"51,000"
2-Oct-20,1.65,"55,000"
9-Oct-20,1.91,"60,500"
16-Oct-20,2.17,"71,500"
23-Oct-20,2.74,"97,500"
30-Oct-20,3.09,"112,500"
6-Nov-20,2.78,"105,000"
13-Nov-20,2.75,"105,500"
20-Nov-20,2.39,"105,000"
27-Nov-20,2.39,"107,500"
4-Dec-20,2.69,"112,500"
11-Dec-20,2.44,"137,500"
18-Dec-20,2.7,"142,500"
25-Dec-20,2.72,"145,500"
1-Jan-21,2.38,"145,000"
8-Jan-21,2.74,"195,000"
15-Jan-21,2.82,"157,500"
22-Jan-21,2.54,"152,500"
29-Jan-21,2.71,"125,000"
5-Feb-21,3.12,"57,500"
12-Feb-21,4.63,"55,000"
19-Feb-21,12.18,"46,500"
26-Feb-21,2.86,"32,500"
5-Mar-21,2.79,"30,000"
12-Mar-21,2.65,"28,500"
19-Mar-21,2.53,"33,500"
26-Mar-21,2.54,"38,500"
2-Apr-21,2.54,"38,500"
9-Apr-21,2.45,"40,000"
16-Apr-21,2.59,"48,000"
23-Apr-21,2.76,"58,500"
30-Apr-21,2.88,"69,000"
7-May-21,2.95,"69,500"
14-May-21,2.93,"66,500"
21-May-21,2.91,"57,000"
28-May-21,2.86,"54,500"
4-Jun-21,3.03,"54,000"
11-Jun-21,3.12,"60,000"
18-Jun-21,3.28,"66,500"
25-Jun-21,3.28,"71,500"
2-Jul-21,3.72,"71,000"
9-Jul-21,3.65,"63,500"
16-Jul-21,3.73,"58,500"
23-Jul-21,3.93,"56,500"
30-Jul-21,4.06,"53,000"
6-Aug-21,4.15,"59,000"
13-Aug-21,4.1,"64,500"
20-Aug-21,3.9,"67,500"
27-Aug-21,4.07,"58,000"
3-Sep-21,4.49,"55,000"
10-Sep-21,4.87,"46,000"
17-Sep-21,5.42,"54,250"
24-Sep-21,5.03,"57,000"
1-Oct-21,5.68,"70,750"
8-Oct-21,5.87,"84,750"
15-Oct-21,5.54,"157,500"
